Date,Open,High,Low,Close*,Adj Close**,Volume
01/17/24,2026.5,2026.5,2002.6,2002.6,2002.6,46
01/16/24,2051.7,2054.8,2026,2026,2026,46
01/15/24,2051.7,2054.8,2051.7,2054.8,2054.8,390
01/12/24,2031.1,2057,2031.1,2046.7,2046.7,390
01/11/24,2025.1,2025.1,2014.3,2014.3,2014.3,97
01/10/24,2029,2035.6,2021.7,2021.7,2021.7,538
01/09/24,2035.8,2035.8,2026.4,2026.4,2026.4,27
01/08/24,2019.1,2033.7,2019.1,2026.6,2026.6,10
01/05/24,2044.5,2048.1,2042.4,2042.4,2042.4,12
01/04/24,2041.6,2044.5,2038,2042.3,2042.3,88
01/03/24,2034.2,2044,2034.2,2034.2,2034.2,54
01/02/24,2063.5,2073.7,2057.1,2064.4,2064.4,61
12/29/23,2068,2068.9,2062.1,2062.4,2062.4,47
12/28/23,2081.6,2087.3,2066.5,2073.9,2073.9,338
12/27/23,2067.3,2081.9,2064.8,2081.9,2081.9,586
12/26/23,2060,2060.8,2054.2,2058.2,2058.2,64
12/22/23,2055.7,2068.7,2052.2,2057.1,2057.1,202
12/21/23,2035.8,2044.5,2033,2039.1,2039.1,228
12/20/23,2037.1,2037.1,2030.3,2034.5,2034.5,258
12/19/23,2025.2,2042.7,2025.2,2038.4,2038.4,498
12/18/23,2024.3,2032.8,2024,2026.3,2026.3,100
12/15/23,2032.6,2043.4,2018.3,2021.1,2021.1,261
12/14/23,2024.7,2040.1,2024.3,2030.2,2030.2,236
12/13/23,1978.5,2024.8,1975,1982.3,1982.3,2252
12/12/23,1984.2,1994.2,1977.8,1977.8,1977.8,95
12/11/23,2004.1,2004.2,1977.2,1978,1978,651
12/08/23,2031.7,2033.1,1995,1998.3,1998.3,449
12/07/23,2029.2,2034.9,2024,2029.9,2029.9,67
12/06/23,2019.9,2035.8,2019,2030.5,2030.5,417
12/05/23,2035.1,2037,2010.2,2018.5,2018.5,289
12/04/23,2075.3,2130.2,2021,2024.1,2024.1,1071
12/01/23,2038.3,2073.2,2036,2071,2071,614
11/30/23,2046.1,2047.1,2033.1,2038.1,2038.1,2506
11/29/23,2041.7,2052.1,2036,2047.1,2047.1,15290
11/28/23,2040.6,2042.7,2039.7,2039.7,2039.7,174665
11/27/23,2011.7,2011.8,2011.7,2011.8,2011.8,228
11/24/23,1991.9,2002.2,1991.5,2002.2,2002.2,63
11/23/23,1991.9,1991.9,1991.5,1991.5,1991.5,6075
11/22/23,1999.1,1999.4,1991,1991.4,1991.4,6075
11/21/23,1990.7,2005.5,1988.5,1999.3,1999.3,16
11/20/23,1978.7,1979.4,1969.7,1977.7,1977.7,182
11/17/23,1982.5,1984,1979.8,1981.6,1981.6,32
11/16/23,1965.3,1983.9,1964.6,1983.9,1983.9,39
11/15/23,1962.8,1962.8,1960,1960.1,1960.1,6
11/14/23,1965.8,1965.8,1961.8,1961.8,1961.8,2
11/13/23,1939.9,1947.2,1934,1945.5,1945.5,191
11/10/23,1959.6,1959.6,1932.6,1932.6,1932.6,375
11/09/23,1951.7,1964.2,1945.3,1964.2,1964.2,10
11/08/23,1967.8,1967.8,1947.7,1951.5,1951.5,43
11/07/23,1966.5,1966.8,1960.7,1966.8,1966.8,20
11/06/23,1981.6,1981.6,1977.4,1981.6,1981.6,130
11/02/23,1989,1991.5,1989,1991.5,1991.5,12
11/01/23,1989.1,1990.3,1979.5,1985.6,1985.6,39
10/31/23,1990.5,1990.5,1977.8,1978.8,1978.8,41
10/30/23,1996.5,2001,1983.7,1985.2,1985.2,84
10/29/23,2004.1,2004.1,1992.5,1996.2,1996.2,157
10/26/23,1988.6,1988.6,1988.6,1988.6,1988.6,372
10/25/23,1988.2,1988.2,1980.4,1987.2,1987.2,521
10/24/23,1971.2,1985.3,1971.2,1984.1,1984.1,97
10/23/23,1970.3,1975,1970.3,1975,1975,10
10/22/23,1976.2,1978.9,1972.9,1976.3,1976.3,127
10/19/23,1981.1,1988.6,1980.4,1982.5,1982.5,557
10/18/23,1950.1,1977.7,1945.7,1968.4,1968.4,1945
10/17/23,1935,1957.9,1935,1955.3,1955.3,67
10/16/23,1914.3,1925.8,1914.3,1922.7,1922.7,103
10/15/23,1910.4,1921.1,1910.3,1921.1,1921.1,53
10/12/23,1877.5,1930.1,1877.5,1927.4,1927.4,43
10/11/23,1874.7,1881.2,1867,1869.3,1869.3,46
10/10/23,1869.5,1874.6,1869.1,1872.8,1872.8,65
10/09/23,1857,1861.4,1852.8,1861,1861,236
10/08/23,1842.5,1861.5,1842.5,1849.5,1849.5,232
10/05/23,1819,1831.8,1809.4,1830.2,1830.2,390
10/04/23,1826.3,1826.3,1815.6,1816.6,1816.6,393
10/03/23,1821.8,1828.2,1816.4,1818.5,1818.5,357
10/02/23,1825,1830.9,1816.8,1824.6,1824.6,310
10/01/23,1844.1,1845.9,1826.7,1830,1830,2309
09/28/23,1864.3,1872.3,1846,1848.1,1848.1,1605
09/27/23,1875.5,1878.2,1856.7,1860.4,1860.4,4654
09/26/23,1871.6,1871.6,1871.6,1871.6,1871.6,12251
09/25/23,1905,1905.1,1900.4,1900.4,1900.4,161
09/24/23,1916.6,1916.6,1916.6,1916.6,1916.6,114
09/21/23,1925.4,1925.4,1925.4,1925.4,1925.4,1
09/20/23,1924,1924,1919.2,1919.2,1919.2,9
09/19/23,1945.6,1945.6,1929.2,1945.6,1945.6,119
09/18/23,1934,1934,1932,1932,1932,6
09/17/23,1928.2,1931.5,1926.4,1931.5,1931.5,19
09/14/23,1923.5,1927.3,1923.5,1923.7,1923.7,8
09/13/23,1903,1910,1903,1910,1910,169
09/12/23,1910.3,1914.6,1908.9,1909.1,1909.1,15
09/11/23,1920.8,1920.8,1911.3,1911.3,1911.3,365
09/10/23,1923,1928.3,1921.8,1923.3,1923.3,50
09/07/23,1924,1924.7,1918.4,1918.4,1918.4,105
09/06/23,1917.6,1921.5,1917.5,1917.5,1917.5,41
09/05/23,1924.1,1925.3,1916.3,1918.1,1918.1,24
09/04/23,1934.4,1934.4,1924.7,1926.2,1926.2,113
08/31/23,1950,1950,1936.6,1939.8,1939.8,167
08/30/23,1944.4,1944.4,1938.2,1938.2,1938.2,491
08/29/23,1936,1946.4,1934.6,1944.3,1944.3,396
08/28/23,1917.9,1936.5,1916.9,1936.5,1936.5,1674
08/27/23,1915.5,1921.5,1915.5,1917.9,1917.9,99
08/24/23,1919.8,1919.8,1911.1,1911.1,1911.1,195
08/23/23,1920,1920.8,1918.2,1918.2,1918.2,337
08/22/23,1909.6,1918.5,1909.6,1918.5,1918.5,547
08/21/23,1894.6,1896.8,1892.8,1896.4,1896.4,46
08/20/23,1893.6,1893.6,1893.3,1893.3,1893.3,876
08/17/23,1891.8,1891.8,1886.1,1886.1,1886.1,19
08/16/23,1893.7,1902.4,1884,1884.1,1884.1,245
08/15/23,1904.5,1904.5,1890.3,1896.1,1896.1,22
08/14/23,1906,1907.7,1895,1902.5,1902.5,73
08/13/23,1909.3,1912.6,1903.3,1910.6,1910.6,46
08/10/23,1913,1916.6,1911.8,1912.9,1912.9,57
08/09/23,1921.1,1927.8,1911.4,1914.4,1914.4,178
08/08/23,1925.4,1928.8,1913.7,1915.4,1915.4,451
08/07/23,1931.7,1933.2,1923,1924.1,1924.1,555
08/06/23,1941,1941,1929.8,1933.5,1933.5,376
08/03/23,1934.9,1945,1920,1939.6,1939.6,290
08/02/23,1934.2,1936.5,1928,1932,1932,773
08/01/23,1948.4,1953.6,1933.2,1937.4,1937.4,652
07/31/23,1964.9,1965.4,1940.7,1940.7,1940.7,688
07/30/23,1959.2,1971.6,1950,1970.5,1970.5,1025
07/27/23,1945.5,1962.2,1944.2,1960.4,1960.4,23155
07/26/23,1945.4,1945.4,1945.4,1945.4,1945.4,194253
07/25/23,1966.2,1972,1966.2,1968.9,1968.9,51
07/24/23,1953,1962.5,1953,1962.1,1962.1,19
